iter	Passed	Remaining
478	644	701
479	645	699
480	646	697
481	648	696
482	649	695
483	654	697
484	655	695
485	656	693
486	656	692
487	657	690
488	658	688
489	659	686
490	660	684
491	660	682
492	661	680
493	662	678
494	662	676
495	663	673
496	663	671
497	664	670
498	665	668
499	668	668
500	671	668
501	672	667
502	673	665
503	674	663
504	676	662
505	677	661
506	678	659
507	678	657
508	679	655
509	681	654
510	682	653
511	684	652
512	686	651
513	687	649
514	687	647
515	688	645
516	689	644
517	690	642
518	690	640
519	691	638
520	692	636
521	692	634
522	693	632
523	694	630
524	694	628
525	696	627
526	697	625
527	698	624
528	698	622
529	699	620
530	700	618
531	700	616
532	701	614
533	702	612
534	702	610
535	704	609
536	705	608
537	706	606
538	707	605
539	711	606
540	713	604
541	713	603
542	714	601
543	715	599
544	716	597
545	716	596
546	717	594
547	718	592
548	719	590
549	719	588
550	720	587
551	721	585
552	721	583
553	722	581
554	723	580
555	724	578
556	726	577
557	726	575
558	727	574
559	728	572
560	729	570
561	729	568
562	730	567
563	731	565
564	731	563
565	732	561
566	734	561
567	735	559
568	736	558
569	737	556
570	739	555
571	740	554
572	741	552
573	742	551
574	743	549
575	744	547
576	745	546
577	746	544
578	747	543
579	747	541
580	748	539
581	749	538
582	750	536
583	751	534
584	751	533
585	752	531
586	753	529
587	753	528
588	754	526
589	756	525
590	758	524
591	758	522
592	759	521
593	760	519
594	761	518
595	761	516
596	762	514
597	762	512
598	765	512
599	766	511
600	767	509
601	769	508
602	772	508
603	773	506
604	773	505
605	774	503
606	775	502
607	776	500
608	777	499
609	778	497
610	778	495
611	779	494
612	780	492
613	781	491
614	782	489
615	782	488
616	783	486
617	784	484
618	785	483
619	787	482
620	789	481
621	790	480
622	791	478
623	792	477
624	793	475
625	793	474
626	794	472
627	796	471
628	796	470
629	797	468
630	798	467
631	799	465
632	800	464
633	801	462
634	804	462
635	805	460
636	806	459
637	808	458
638	808	456
639	810	455
640	811	454
641	812	452
642	813	451
643	814	450
644	815	448
645	817	447
646	817	446
647	818	444
648	819	443
649	821	442
650	822	440
651	823	439
652	823	437
653	824	436
654	826	435
655	826	433
656	827	432
657	829	431
658	830	429
659	831	428
660	832	426
661	833	425
662	833	423
663	834	422
664	835	420
665	836	419
666	837	417
667	837	416
668	838	414
669	840	413
670	841	412
671	842	411
672	842	409
673	843	408
674	844	406
675	845	405
676	845	403
677	847	402
678	848	401
679	852	401
680	853	399
681	862	402
682	863	400
683	869	401
684	873	401
685	875	400
686	876	399
687	880	399
688	881	397
689	882	396
690	883	395
691	892	397
692	893	395
693	894	394
694	894	392
695	895	391
696	896	389
697	898	388
698	899	387
699	900	385
700	901	384
701	903	383
702	905	382
703	906	381
704	908	380
705	909	378
706	910	377
707	911	375
708	912	374
709	913	372
710	913	371
711	914	369
712	916	369
713	917	367
714	918	366
715	919	364
716	920	363
717	921	361
718	923	360
719	924	359
720	925	357
721	925	356
722	926	354
723	927	353
724	927	351
725	928	350
726	929	349
727	931	347
728	932	346
729	932	344
730	933	343
731	934	342
732	934	340
733	935	339
734	936	337
735	937	336
736	938	334
737	939	333
738	943	333
739	944	331
740	945	330
741	945	328
742	946	327
743	947	326
744	948	324
745	949	323
746	950	321
747	951	320
748	951	319
749	953	317
750	954	316
751	955	315
752	956	313
753	957	312
754	958	310
755	959	309
756	960	308
757	960	306
758	962	305
759	965	304
760	966	303
761	967	302
762	968	300
763	969	299
764	969	297
765	970	296
766	971	295
767	972	293
768	976	293
769	976	291
770	979	291
771	981	289
772	982	288
773	983	287
774	984	285
775	986	284
776	987	283
777	988	282
778	990	280
779	992	279
780	993	278
781	995	277
782	995	276
783	997	274
784	998	273
785	999	272
786	999	270
787	1000	269
788	1001	267
789	1002	266
790	1003	265
791	1004	263
792	1005	262
793	1006	261
794	1007	259
795	1008	258
796	1010	257
797	1010	255
798	1015	255
799	1016	254
800	1018	252
801	1019	251
802	1019	250
803	1020	248
804	1022	247
805	1022	246
806	1023	244
807	1024	243
808	1025	242
809	1026	240
810	1027	239
811	1028	238
812	1028	236
813	1029	235
814	1030	233
815	1031	232
816	1032	231
817	1033	229
818	1033	228
819	1035	227
820	1036	225
821	1037	224
822	1038	223
823	1039	221
824	1039	220
825	1040	219
826	1041	217
827	1042	216
828	1044	215
829	1045	214
830	1046	212
831	1047	211
832	1048	210
833	1049	208
834	1049	207
835	1050	206
836	1051	204
837	1051	203
838	1052	201
839	1053	200
840	1053	199
841	1054	197
842	1055	196
843	1055	195
844	1056	193
845	1058	192
846	1059	191
847	1060	190
848	1060	188
849	1061	187
850	1062	185
851	1062	184
852	1063	183
853	1064	181
854	1065	180
855	1066	179
856	1067	178
857	1067	176
858	1068	175
859	1069	174
860	1069	172
861	1070	171
862	1071	170
863	1072	168
864	1072	167
865	1075	166
866	1076	165
867	1077	163
868	1078	162
869	1079	161
870	1079	159
871	1080	158
872	1081	157
873	1081	155
874	1082	154
875	1083	153
876	1084	152
877	1084	150
878	1085	149
879	1086	148
880	1087	146
881	1087	145
882	1090	144
883	1091	143
884	1092	142
885	1093	140
886	1094	139
887	1096	138
888	1097	137
889	1098	135
890	1100	134
891	1101	133
892	1102	132
893	1103	130
894	1103	129
895	1104	128
896	1107	127
897	1108	125
898	1110	124
899	1111	123
900	1111	122
901	1116	121
902	1118	120
903	1119	118
904	1121	117
905	1123	116
906	1125	115
907	1126	114
908	1130	113
909	1130	111
910	1131	110
911	1134	109
912	1136	108
913	1137	107
914	1139	105
915	1139	104
916	1140	103
917	1141	101
918	1142	100
919	1143	99
920	1144	98
